x_star,upper_mean,upper_std,lower_mean,lower_std,Spalart-Allmaras_upper,Spalart-Allmaras_lower,Spalart-Allmaras w/ CFC_upper,Spalart-Allmaras w/ CFC_lower,RSM $\epsilon$-linear_upper,RSM $\epsilon$-linear_lower
2.008032128514055936e-01,5.586488163469151225e+00,9.520409050713531940e-01,-5.444595332522019326e+00,5.678089183424823716e-01,5.206384424132260769e+00,-5.267589271970810394e+00,6.895116667928529175e+00,-6.211413991778702126e+00,4.657963398346664619e+00,-4.854782733816545459e+00
2.048192771084337283e-01,5.639556331856719673e+00,9.629590773370243495e-01,-5.491518069730645379e+00,5.868756666326466753e-01,5.247579739758054806e+00,-5.306239388908406518e+00,6.965013990205754624e+00,-6.284791715577095594e+00,4.706075265606348701e+00,-4.883523104706434026e+00
2.088353413654618351e-01,5.694908217328896960e+00,9.781539448099126899e-01,-5.545532857386116454e+00,6.064736502766938653e-01,5.286102327966332837e+00,-5.363973514362962547e+00,7.043791838228721680e+00,-6.362255079269729663e+00,4.754830485791636363e+00,-4.910369978525656265e+00
2.128514056224899420e-01,5.751128581210629420e+00,9.989255276071615786e-01,-5.595984359461475321e+00,6.288762385255328713e-01,5.329364490412393351e+00,-5.414707405497411585e+00,7.129642676248126421e+00,-6.440666591502964167e+00,4.794378576971368489e+00,-4.932579081384048436e+00
2.168674698795180489e-01,5.808469772799200292e+00,1.013086203107483207e+00,-5.644275326093942446e+00,6.506277343569225602e-01,5.374561477008445110e+00,-5.460278443484658517e+00,7.207924734868960570e+00,-6.517032074087780735e+00,4.842923106520196086e+00,-4.955515460709386311e+00
2.208835341365461558e-01,5.869813319230207327e+00,1.025483579012568258e+00,-5.687714066092211418e+00,6.666412812046375036e-01,5.427217758167167894e+00,-5.501933209146509185e+00,7.287149031113450803e+00,-6.581060615538367742e+00,4.895073168410004172e+00,-4.980148373591756439e+00
2.248995983935742626e-01,5.927422916851921464e+00,1.041821500069830764e+00,-5.733996444216642452e+00,6.885823684134467770e-01,5.466689652253307052e+00,-5.544838890218596106e+00,7.369763848045745469e+00,-6.655849711308835737e+00,4.945815250256710982e+00,-5.001300731122495513e+00
2.289156626506023973e-01,5.984911481762215324e+00,1.059176601217264535e+00,-5.778405910594682560e+00,7.124259572761243442e-01,5.506847083817154598e+00,-5.581330435170553272e+00,7.453322968185248421e+00,-6.732628788788320051e+00,4.994564393284244730e+00,-5.021258507825175244e+00
2.329317269076305041e-01,6.044210405938387431e+00,1.078828451521954834e+00,-5.823782050871426641e+00,7.332339639719857027e-01,5.546667280941043998e+00,-5.622303779201019758e+00,7.542039361352132154e+00,-6.805431482035635860e+00,5.043924575521988807e+00,-5.043610891377624306e+00
2.369477911646586110e-01,6.100649284254391347e+00,1.103141516035519798e+00,-5.870046281241664055e+00,7.498589140323996816e-01,5.582000904473448877e+00,-5.673646657772512647e+00,7.634192725378602162e+00,-6.870744279875613536e+00,5.085754222911124778e+00,-5.065747906076866869e+00
2.409638554216867179e-01,6.157216865207044698e+00,1.122721568195816921e+00,-5.921787065299098707e+00,7.531662615723513365e-01,5.616891646934939253e+00,-5.727069279975206761e+00,7.720357460780807202e+00,-6.926037828260489526e+00,5.134401487905389416e+00,-5.112254087661598057e+00
2.449799196787148248e-01,6.217169499785854647e+00,1.129534451547145046e+00,-5.966905615649541694e+00,7.546377611874650615e-01,5.662198667391048268e+00,-5.758898057336250709e+00,7.791874113821898540e+00,-6.977422973126143901e+00,5.197435718144617134e+00,-5.164395816486231361e+00
2.489959839357429594e-01,6.272383873195661153e+00,1.130487162683566860e+00,-6.015928065338965069e+00,7.494243100840860539e-01,5.705578617697877775e+00,-5.792793489685432284e+00,7.850410264531325844e+00,-7.024776477272580699e+00,5.261162737357778951e+00,-5.230214229058882225e+00
2.530120481927710663e-01,6.321572722035287306e+00,1.137328536751726960e+00,-6.073913362816047545e+00,7.399629665082073648e-01,5.749665346533141985e+00,-5.835990428366954141e+00,7.909434918918019974e+00,-7.075406583380263292e+00,5.305617900654699071e+00,-5.310343076700926979e+00
2.570281124497991732e-01,6.374435256685587525e+00,1.138778946969712713e+00,-6.136791549779069044e+00,7.342822865781651887e-01,5.790066397170334334e+00,-5.879288108436903748e+00,7.966277723048921899e+00,-7.136763505434621457e+00,5.366961649837506343e+00,-5.394323035465681926e+00
2.610441767068272800e-01,6.434576227696335415e+00,1.129923574013443899e+00,-6.194802236137920026e+00,7.249675006399340926e-01,5.839058923256891909e+00,-5.911244689986932421e+00,8.016511767946617795e+00,-7.189847177528900346e+00,5.448157991885494766e+00,-5.483314840897927311e+00
2.650602409638553869e-01,6.493541031718014445e+00,1.121757566204532486e+00,-6.258659056461874037e+00,7.062814649875115425e-01,5.878015221260358913e+00,-5.958343529626416668e+00,8.067540896801121519e+00,-7.233806637958295482e+00,5.535066977092562013e+00,-5.583827001800909962e+00
2.690763052208834938e-01,6.545400750811928070e+00,1.113662589761454935e+00,-6.327170610614044399e+00,6.888724746386469810e-01,5.913325794041880634e+00,-6.010668729496069673e+00,8.110729021014210005e+00,-7.283348771481216843e+00,5.612147437379692683e+00,-5.687494330864845793e+00
2.730923694779116007e-01,6.592939204609369774e+00,1.102034004470945350e+00,-6.389009363391182639e+00,6.759378083685856353e-01,5.954754751743034369e+00,-6.048330365937023778e+00,8.143396069809289983e+00,-7.332841749411618260e+00,5.680666792275786747e+00,-5.785855974824906767e+00
2.771084337349397075e-01,6.637778892764394811e+00,1.090137265468218652e+00,-6.444981449119485006e+00,6.725084816844216773e-01,5.998004802112522071e+00,-6.085982779018129563e+00,8.172415180132372114e+00,-7.387200557779922683e+00,5.742916696048288472e+00,-5.861761010560403662e+00
2.811244979919678699e-01,6.679019363718150970e+00,1.078613264402106031e+00,-6.504352352859478437e+00,6.702365455402448102e-01,6.033648546925196143e+00,-6.128317373288530767e+00,8.198672709379552614e+00,-7.445877514185785806e+00,5.804736834849704152e+00,-5.938862171104118737e+00
